Year,TWDBSurveyNo,PermitHolder,Latitude,Longitude,SourceType,UseType,SS_Pur,County,AquiferName,SurfaceWaterSource,SellerName,NAICS,Saline,Estimated,Volume,RelatedtoCOG
2008,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Reuse,Municipal,Ss,LUBBOCK,NA,UNKNOWN,NA,NA,NA,NA,5864420000,No
1986,6650,CITY OF ABILENE,NA,NA,Surface,Municipal,Ss,JONES,NA,FORT PHANTOM HILL LAKE/RESERVOIR,NA,NA,NA,NA,5828138402,No
2009,619550,CITY OF ODESSA,NA,NA,Reuse,Municipal,Ss,ECTOR,NA,UNKNOWN,NA,NA,NA,NA,5747527000,No
2005,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Reuse,Municipal,Ss,LUBBOCK,NA,UNKNOWN,NA,NA,NA,NA,5671140000,No
2011,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Reuse,Municipal,Ss,LUBBOCK,NA,UNKNOWN,NA,NA,NA,NA,5614310000,No
2015,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Reuse,Municipal,Ss,LUBBOCK,NA,UNKNOWN,NA,NA,NA,NA,5479120000,No
1998,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Groundwater,Municipal,SS,BAILEY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,5450035000,No
2006,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Surface,Municipal,Pur,LUBBOCK,NA,BRAZOS RUN OF RIVER,CANADIAN RIVER MWA,NA,NA,NA,5433848000,No
2012,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Groundwater,Municipal,SS,BAILEY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,5309672700,No
1982,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,5127100000,No
2013,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Reuse,Municipal,Ss,LUBBOCK,NA,UNKNOWN,NA,NA,NA,NA,5116940000,No
1991,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,5100971000,No
2012,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,ECTOR,NA,O.H. IVIE LAKE/RESERVOIR,SPENCE IVY & THOMAS,NA,NA,NA,5022146200,No
2014,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Reuse,Municipal,Ss,LUBBOCK,NA,UNKNOWN,NA,NA,NA,NA,4994210000,No
2016,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Reuse,Municipal,Ss,LUBBOCK,NA,UNKNOWN,NA,NA,NA,NA,4944760000,No
2018,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Reuse,Municipal,Ss,LUBBOCK,NA,UNKNOWN,NA,NA,NA,NA,4929730000,No
1981,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4917947000,No
1987,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4853516490,No
2002,936850,WEST TEXAS UTILITIES COMPANY-OAK CREEK STATION,NA,NA,Surface,Industrial,Ss,COKE,NA,OAK CREEK LAKE/RESERVOIR,NA,221112,No,No,4843938041,No
1999,764157,CITY OF SAN ANGELO,NA,NA,Surface,Municipal,Pur,TOM GREEN,NA,O C FISHER LAKE/RESERVOIR,O C FISHER (SAN ANGELO) 14060,NA,NA,NA,4840190754,No
2000,221200,CITY OF DEL RIO,NA,NA,Groundwater,Municipal,SS,VAL VERDE,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,NA,NA,4818964000,No
2001,221200,CITY OF DEL RIO,NA,NA,Groundwater,Municipal,SS,VAL VERDE,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,NA,NA,4818964000,No
2002,221200,CITY OF DEL RIO,NA,NA,Groundwater,Municipal,SS,VAL VERDE,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,NA,NA,4818964000,No
1995,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Groundwater,Municipal,SS,LUBBOCK,OGALLALA AQUIFER,NA,NA,NA,NA,NA,4768141000,No
1996,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Groundwater,Municipal,SS,BAILEY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,4750007000,No
1985,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4706974000,No
2004,764157,CITY OF SAN ANGELO,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,4690952000,No
2017,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT (MIDLAND),NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,4690278000,No
2006,764157,CITY OF SAN ANGELO,NA,NA,Surface,Municipal,Pur,TOM GREEN,NA,O.H. IVIE LAKE/RESERVOIR,O H IVEY RESERVOIR,NA,NA,NA,4641421000,No
2005,813875,SOUTHWESTERN PUBLIC SERVICE COMPANY-TOLK STATION,NA,NA,Groundwater,Industrial,SS,LAMB,OGALLALA AQUIFER,NA,NA,221112,No,No,4625955300,No
2013,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT (MIDLAND),NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,4620984000,No
1990,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4613189500,No
1991,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4611958000,No
2004,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Groundwater,Municipal,Pur,LUBBOCK,OGALLALA AQUIFER,NA,CANADIAN RIVER MWA,NA,NA,NA,4598655000,No
2016,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT (MIDLAND),NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,4598006000,No
2004,813875,SOUTHWESTERN PUBLIC SERVICE COMPANY-TOLK STATION,NA,NA,Groundwater,Industrial,SS,LAMB,OGALLALA AQUIFER,NA,NA,221112,No,No,4596052800,No
1983,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4554052000,No
2006,6650,CITY OF ABILENE,NA,NA,Surface,Municipal,Ss,JONES,NA,FORT PHANTOM HILL LAKE/RESERVOIR,NA,NA,NA,NA,4535563000,No
1984,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4534934000,No
2017,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Reuse,Municipal,Ss,LUBBOCK,NA,UNKNOWN,NA,NA,NA,NA,4521430000,No
1986,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4506033320,No
1990,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4472300000,No
2015,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT (MIDLAND),NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,4450334000,No
2014,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT (MIDLAND),NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,4403024000,No
1988,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4401152250,No
1989,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4390586000,No
1988,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4360860000,No
2018,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT (MIDLAND),NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,4319041000,No
1987,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4297661000,No
1999,221200,CITY OF DEL RIO,NA,NA,Groundwater,Municipal,SS,VAL VERDE,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,NA,NA,4264229000,No
1998,764157,CITY OF SAN ANGELO,NA,NA,Surface,Municipal,Pur,TOM GREEN,NA,TWIN BUTTES LAKE/RESERVOIR,SAN ANGELO WSC,NA,NA,NA,4248771189,No
1986,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4247500000,No
1984,6650,CITY OF ABILENE,NA,NA,Surface,Municipal,Ss,JONES,NA,FORT PHANTOM HILL LAKE/RESERVOIR,NA,NA,NA,NA,4215208536,No
1985,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4201350000,No
2011,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT (MIDLAND),NA,NA,Reuse,Municipal,Ss,MIDLAND,NA,UNKNOWN,NA,NA,NA,NA,4190904000,No
1984,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4136450000,No
2012,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT (MIDLAND),NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,4127698000,No
1983,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4074010000,No
2010,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Reuse,Municipal,Ss,MIDLAND,NA,UNKNOWN,NA,NA,NA,NA,4034317000,No
1982,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,4034134000,No
2008,6650,CITY OF ABILENE,NA,NA,Surface,Municipal,Ss,JONES,NA,FORT PHANTOM HILL LAKE/RESERVOIR,NA,NA,NA,NA,4033701000,No
2013,813875,XCEL ENERGY-TOLK STATION,NA,NA,Groundwater,Industrial,SS,LAMB,OGALLALA AQUIFER,NA,NA,221112,No,No,4031083440,No
2003,813875,SOUTHWESTERN PUBLIC SERVICE COMPANY-TOLK STATION,NA,NA,Groundwater,Industrial,SS,LAMB,OGALLALA AQUIFER,NA,NA,221112,No,No,4018113300,No
1994,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,4016945917,No
1996,764157,CITY OF SAN ANGELO,NA,NA,Surface,Municipal,Pur,TOM GREEN,NA,TWIN BUTTES LAKE/RESERVOIR,SAN ANGELO WSC,NA,NA,NA,3999495174,No
2018,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT (MIDLAND),NA,NA,Reuse,Municipal,Ss,MIDLAND,NA,UNKNOWN,NA,NA,NA,NA,3974911000,No
1981,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,E V SPENCE RESERVOIR 14040,NA,NA,NA,3936530000,No
1980,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,LAKE J B THOMAS,NA,NA,NA,3930028000,No
1984,764157,CITY OF SAN ANGELO,NA,NA,Surface,Municipal,Pur,TOM GREEN,NA,TWIN BUTTES LAKE/RESERVOIR,SAN ANGELO WSC,NA,NA,NA,3909234447,No
1998,813875,SOUTHWESTERN PUBLIC SERVICE COMPANY-TOLK STATION,NA,NA,Groundwater,Industrial,SS,LAMB,OGALLALA AQUIFER,NA,NA,221112,No,No,3908974350,No
1999,813875,SOUTHWESTERN PUBLIC SERVICE COMPANY-TOLK STATION,NA,NA,Groundwater,Industrial,SS,LAMB,OGALLALA AQUIFER,NA,NA,221112,No,No,3908974350,No
1984,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Groundwater,Municipal,SS,MIDLAND,OGALLALA AQUIFER,NA,NA,NA,NA,NA,3906163000,No
2006,813875,SOUTHWESTERN PUBLIC SERVICE COMPANY-TOLK STATION,NA,NA,Groundwater,Industrial,SS,LAMB,OGALLALA AQUIFER,NA,NA,221112,No,No,3898579100,No
2008,813875,SOUTHWESTERN PUBLIC SERVICE COMPANY-TOLK STATION,NA,NA,Groundwater,Industrial,SS,LAMB,OGALLALA AQUIFER,NA,NA,221112,No,No,3890154260,No
2002,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Groundwater,Municipal,Pur,LUBBOCK,OGALLALA AQUIFER,NA,UNKNOWN,NA,NA,NA,3876726000,No
2000,813875,SOUTHWESTERN PUBLIC SERVICE COMPANY-TOLK STATION,NA,NA,Groundwater,Industrial,SS,LAMB,OGALLALA AQUIFER,NA,NA,221112,No,No,3830099080,No
2001,813875,SOUTHWESTERN PUBLIC SERVICE COMPANY-TOLK STATION,NA,NA,Groundwater,Industrial,SS,LAMB,OGALLALA AQUIFER,NA,NA,221112,No,No,3804089540,No
1983,764157,CITY OF SAN ANGELO,NA,NA,Surface,Municipal,Pur,TOM GREEN,NA,TWIN BUTTES LAKE/RESERVOIR,SAN ANGELO WSC,NA,NA,NA,3794209044,No
2010,813875,SOUTHWESTERN PUBLIC SERVICE COMPANY-TOLK STATION,NA,NA,Groundwater,Industrial,SS,LAMB,OGALLALA AQUIFER,NA,NA,221112,No,No,3777008500,No
1983,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Groundwater,Municipal,SS,MIDLAND,OGALLALA AQUIFER,NA,NA,NA,NA,NA,3775563000,No
1985,6650,CITY OF ABILENE,NA,NA,Surface,Municipal,Ss,JONES,NA,FORT PHANTOM HILL LAKE/RESERVOIR,NA,NA,NA,NA,3762541911,No
1982,764157,CITY OF SAN ANGELO,NA,NA,Surface,Municipal,Ss,TOM GREEN,NA,NASWORTHY LAKE/RESERVOIR,NA,NA,NA,NA,3747514593,No
2010,6650,CITY OF ABILENE,NA,NA,Surface,Municipal,Ss,JONES,NA,FORT PHANTOM HILL LAKE/RESERVOIR,NA,NA,NA,NA,3728484000,No
2016,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Groundwater,Municipal,SS,BAILEY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,3717088000,No
1997,813875,SOUTHWESTERN PUBLIC SERVICE COMPANY-TOLK STATION,NA,NA,Groundwater,Industrial,SS,LAMB,OGALLALA AQUIFER,NA,NA,221112,No,No,3701321670,No
1985,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Groundwater,Municipal,SS,MIDLAND,OGALLALA AQUIFER,NA,NA,NA,NA,NA,3690455000,No
2002,813875,SOUTHWESTERN PUBLIC SERVICE COMPANY-TOLK STATION,NA,NA,Groundwater,Industrial,SS,LAMB,OGALLALA AQUIFER,NA,NA,221112,No,No,3660314540,No
2007,813875,SOUTHWESTERN PUBLIC SERVICE COMPANY-TOLK STATION,NA,NA,Groundwater,Industrial,SS,LAMB,OGALLALA AQUIFER,NA,NA,221112,No,No,3647827510,No
